               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 110,            0.039651,            0.014938,             0.01021,              0.8025,             0.79274,             0.92278,             0.46838,            0.027773,            0.011083,           0.0026934,            0.006403,            0.006403,            0.006403
                 111,            0.039183,            0.013815,            0.011078,             0.79381,             0.93677,             0.96183,             0.48182,            0.026519,           0.0078994,             0.00229,             0.00637,             0.00637,             0.00637
                 112,             0.04095,            0.013843,            0.012317,             0.94684,              0.9774,               0.995,             0.54248,             0.02612,           0.0071453,           0.0021561,            0.006337,            0.006337,            0.006337
                 113,            0.039898,            0.011741,           0.0089295,             0.93708,             0.97861,               0.995,             0.48936,            0.024526,           0.0068763,           0.0020365,            0.006304,            0.006304,            0.006304
                 114,            0.041929,            0.014941,            0.008984,             0.78175,             0.85697,             0.91672,             0.50031,             0.02432,            0.011841,           0.0025429,            0.006271,            0.006271,            0.006271
                 115,            0.040265,            0.014729,             0.01162,             0.82261,             0.89576,             0.93548,              0.5067,            0.021469,           0.0076486,           0.0029875,            0.006238,            0.006238,            0.006238
                 116,            0.039987,            0.013406,            0.010825,             0.85962,              0.8615,             0.93019,              0.5636,            0.024528,            0.006193,           0.0029583,            0.006205,            0.006205,            0.006205
                 117,            0.038429,             0.01294,            0.010397,             0.82978,             0.88364,             0.93944,             0.52279,            0.023985,           0.0093707,           0.0027014,            0.006172,            0.006172,            0.006172
                 118,            0.041207,            0.014562,           0.0098209,             0.80275,             0.90336,             0.93667,             0.45557,            0.026213,           0.0079663,           0.0025211,            0.006139,            0.006139,            0.006139
                 119,            0.040213,            0.013223,             0.01047,             0.90455,             0.98011,               0.995,             0.61705,            0.019889,           0.0058943,           0.0017315,            0.006106,            0.006106,            0.006106
                 120,            0.038595,            0.014459,           0.0095803,             0.93067,             0.97877,               0.995,             0.57736,            0.021324,            0.005888,           0.0013378,            0.006073,            0.006073,            0.006073
                 121,            0.040234,            0.014788,            0.011222,             0.86473,             0.86628,                0.97,             0.52041,            0.026668,           0.0055153,           0.0021006,             0.00604,             0.00604,             0.00604
                 122,            0.041071,            0.013904,            0.010068,             0.89731,             0.96613,               0.995,             0.46097,            0.022253,           0.0052488,           0.0028507,            0.006007,            0.006007,            0.006007
                 123,            0.038113,            0.012432,           0.0095552,             0.89294,             0.96299,               0.995,             0.55435,            0.024671,            0.005355,           0.0031517,            0.005974,            0.005974,            0.005974
                 124,            0.037882,            0.013565,           0.0090415,             0.91797,              0.9224,               0.995,             0.49119,            0.022643,           0.0056309,           0.0032444,            0.005941,            0.005941,            0.005941
                 125,            0.039833,              0.0128,           0.0097381,             0.73144,             0.92339,             0.90828,             0.36085,            0.029703,           0.0058314,           0.0031448,            0.005908,            0.005908,            0.005908
                 126,            0.038647,            0.014014,             0.01076,             0.95419,             0.79207,             0.91167,              0.4513,            0.022835,           0.0059144,           0.0039185,            0.005875,            0.005875,            0.005875
                 127,            0.038102,            0.011928,           0.0091036,             0.93399,             0.80812,             0.89778,             0.51343,            0.021361,           0.0068824,            0.003467,            0.005842,            0.005842,            0.005842
                 128,            0.040317,            0.012512,           0.0076576,             0.95106,              0.8666,               0.995,             0.43714,            0.022901,           0.0081315,           0.0025457,            0.005809,            0.005809,            0.005809
                 129,            0.038493,            0.012811,            0.013054,              0.9174,             0.92846,               0.995,             0.53317,            0.024121,           0.0082789,           0.0021406,            0.005776,            0.005776,            0.005776
                 130,            0.037021,            0.012906,           0.0099304,              0.9244,             0.86773,             0.96722,             0.39862,            0.026611,           0.0066597,           0.0018282,            0.005743,            0.005743,            0.005743
                 131,            0.039428,            0.013264,           0.0083051,             0.92764,             0.81638,             0.91167,              0.4327,            0.026933,            0.005601,           0.0018365,             0.00571,             0.00571,             0.00571
                 132,             0.04108,            0.014352,           0.0079759,             0.92267,             0.90388,             0.96722,             0.53772,            0.022659,           0.0055646,           0.0020934,            0.005677,            0.005677,            0.005677
                 133,            0.038947,            0.013447,            0.010469,              0.9018,             0.84693,             0.93972,             0.56018,            0.022423,           0.0053628,           0.0022253,            0.005644,            0.005644,            0.005644
                 134,            0.039399,            0.012964,            0.010704,             0.91257,             0.96918,               0.995,             0.55849,            0.023666,           0.0053476,           0.0015744,            0.005611,            0.005611,            0.005611
